sex,x,log_mx_std
Male,97.5,-1.00398626012655
Male,98.5,-0.925458471025063
Male,99.5,-0.841743089055584
Male,100.5,-0.757791358569082
Male,101.5,-0.683540031286952
Male,102.5,-0.62157773877772
Male,103.5,-0.569087592810394
Male,104.5,-0.519911932751271
Male,105.5,-0.467664451843201
Male,106.5,-0.420984964370461
Male,107.5,-0.378127879821731
Male,108.5,-0.338927126000495
Male,109.5,-0.303198395171229
Male,110.5,-0.270743877008035
Male,111.5,-0.241356891231436
Female,0.2,-5.64848851031373
Female,1.5,-7.13272834378197
Female,2.5,-8.08520072762227
Female,3.5,-8.74577959047225
Female,4.5,-9.07855370245084
Female,5.5,-9.144367141533
Female,6.5,-9.0696020542924
Female,7.5,-8.98682102041722
Female,8.5,-8.97876650229575
Female,9.5,-9.05193973763979
Female,10.5,-9.14900885905929
Female,11.5,-9.18957304765007
Female,12.5,-9.11618168342111
Female,13.5,-8.92258300051977
Female,14.5,-8.65270951637208
Female,15.5,-8.37492586632825
Female,16.5,-8.14792602795498
Female,17.5,-7.99670288396798
Female,18.5,-7.90925133751062
Female,19.5,-7.85230512280642
Female,20.5,-7.79456133722498
Female,21.5,-7.72352900126754
Female,22.5,-7.6477313281855
Female,23.5,-7.58547825743788
Female,24.5,-7.5490348612928
Female,25.5,-7.53461582592849
Female,26.5,-7.52393895987049
Female,27.5,-7.49543367758451
Female,28.5,-7.43739640771788
Female,29.5,-7.35471175852201
Female,30.5,-7.26522556619951
Female,31.5,-7.18841997639271
Female,32.5,-7.13361389064706
Female,33.5,-7.09485593466015
Female,34.5,-7.05528349120963
Female,35.5,-6.99786837988578
Female,36.5,-6.91575894464229
Female,37.5,-6.81599079651952
Female,38.5,-6.7146321417059
Female,39.5,-6.62669398081364
Female,40.5,-6.55715278692735
Female,41.5,-6.49848274373509
Female,42.5,-6.43592109989713
Female,43.5,-6.35695019983039
Female,44.5,-6.25906165157187
Female,45.5,-6.15114158000641
Female,46.5,-6.04786592860881
Female,47.5,-5.96076237701285
Female,48.5,-5.89148610142368
Female,49.5,-5.83131047214392
Female,50.5,-5.7669119200808
Female,51.5,-5.68869550884209
Female,52.5,-5.59649085450737
Female,53.5,-5.49922865295651
Female,54.5,-5.40899876908058
Female,55.5,-5.33331874061253
Female,56.5,-5.2704271917733
Female,57.5,-5.21042981146328
Female,58.5,-5.14146254335989
Female,59.5,-5.05697923606902
Female,60.5,-4.95966977628705
Female,61.5,-4.85967381540915
Female,62.5,-4.76828832480143
Female,63.5,-4.69108638766177
Female,64.5,-4.62463353457244
Female,65.5,-4.55870421037103
Female,66.5,-4.4825190983707
Female,67.5,-4.39112936456119
Female,68.5,-4.28809605596699
